"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"165fc07beebdcb6190fba8a06db2a449",19081.429999999997,"64","56","87.50","3.75"
"4c2b230173bb36f9b240f2b8ac11786e",18828.710000000003,"343","312","90.96","3.76"
"c72de06d72748d1a0dfb2125be43ba63",18733.18,"22","22","100.00","4.45"
"79ebd9a61bac3eaf882805ed4ecfa12a",18730.520000000004,"140","132","94.29","4.00"
"94144541854e298c2d976cb893b81343",18715.650000000005,"76","73","96.05","4.29"
"a888faf2d1baececa6baf9c3d603ee1f",18672.749999999996,"54","46","85.19","4.05"
"213b25e6f54661939f11710a6fddb871",18486.959999999992,"190","169","88.95","3.79"
"ef0ace09169ac090589d85746e3e036f",18404.780000000006,"139","128","92.09","4.34"
"2a84855fd20af891be03bc5924d2b453",18265.72000000001,"159","154","96.86","4.23"
"2138ccb85b11a4ec1e37afbd1c8eda1f",17991.890000000018,"419","396","94.51","3.91"
"0adac9fbd9a2b63cccaac4f8756c1ca8",17955.50000000002,"134","127","94.78","3.92"
"abe42c5d03695b4257b5c6cbf4e6784e",17947.550000000003,"49","41","83.67","3.92"
"229c3efbfb0ea2058de4ccdfbc3d784a",17779.710000000006,"145","142","97.93","3.64"
"8ae520247981aa06bc94abddf5f46d34",17766.340000000007,"65","64","98.46","4.45"
"01fdefa7697d26ad920e9e0346d4bd1b",17532.78999999999,"130","122","93.85","4.35"
"4a3ccda38b2129705f3fb522db62ca31",17508.810000000005,"73","66","90.41","3.72"
"66922902710d126a0e7d26b0e3805106",17464.929999999997,"155","144","92.90","4.45"
"d921b68bf747894be13a97ae52b0f386",17403.810000000005,"77","76","98.70","4.56"
"1b4c3a6f53068f0b6944d2d005c9fc89",17396.98999999999,"115","108","93.91","4.10"
"5cf13accae3222c70a9cac40818ae839",17296.180000000004,"155","150","96.77","4.44"
"e5a38146df062edaf55c38afa99e42dc",17156.430000000008,"124","113","91.13","3.95"
"c3acdfac4e3e97ff87529454fbc03642",17057.280000000002,"12","11","91.67","4.25"
"d94a40fd42351c259927028d163af842",17022.369999999988,"109","105","96.33","4.10"
"2e90cb1677d35cfe24eef47d441b7c87",16782.16,"137","120","87.59","4.04"
"6d66611d7c44cc30ce351abc49a68421",16645.25999999999,"174","162","93.10","3.91"
